STATE US ABBREVIATION,RC-PAIN RELIEVERS - PAST YEAR MISUSE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count SE
HI,Overall,0.004,0.0002,0.004,0.005,0.004,0.0002,0.004,0.005,1.0,0.0,N/A,N/A,1156000.0,59000.0
HI,0 - Did not misuse in the past year,0.004,0.0002,0.004,0.004,0.004,0.0002,0.004,0.005,0.958,0.0074,0.94,0.97,1107000.0,58000.0
HI,1 - Misused within the past year,0.0,0.0,0.0,0.0,0.005,0.0009,0.003,0.007,0.042,0.0074,0.03,0.06,49000.0,9000.0
IA,Overall,0.01,0.0004,0.009,0.01,0.01,0.0004,0.009,0.01,1.0,0.0,N/A,N/A,2632000.0,119000.0
IA,0 - Did not misuse in the past year,0.009,0.0004,0.008,0.01,0.01,0.0004,0.009,0.01,0.956,0.0063,0.942,0.967,2517000.0,119000.0
IA,1 - Misused within the past year,0.0,0.0001,0.0,0.001,0.012,0.0017,0.009,0.015,0.044,0.0063,0.033,0.058,115000.0,16000.0
ID,Overall,0.005,0.0002,0.005,0.006,0.005,0.0002,0.005,0.006,1.0,0.0,N/A,N/A,1458000.0,61000.0
ID,0 - Did not misuse in the past year,0.005,0.0002,0.005,0.006,0.005,0.0002,0.005,0.006,0.956,0.0059,0.943,0.966,1394000.0,60000.0
ID,1 - Misused within the past year,0.0,0.0,0.0,0.0,0.007,0.0009,0.005,0.009,0.044,0.0059,0.034,0.057,64000.0,9000.0
IL,Overall,0.039,0.0011,0.037,0.041,0.039,0.0011,0.037,0.041,1.0,0.0,N/A,N/A,10672000.0,299000.0
IL,0 - Did not misuse in the past year,0.038,0.0011,0.036,0.04,0.039,0.0011,0.037,0.042,0.976,0.0027,0.97,0.981,10420000.0,300000.0
IL,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.026,0.0028,0.021,0.032,0.024,0.0027,0.019,0.03,252000.0,28000.0
IN,Overall,0.02,0.0008,0.019,0.022,0.02,0.0008,0.019,0.022,1.0,0.0,N/A,N/A,5586000.0,209000.0
IN,0 - Did not misuse in the past year,0.02,0.0007,0.018,0.021,0.02,0.0008,0.019,0.022,0.963,0.005,0.952,0.972,5383000.0,201000.0
IN,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.021,0.003,0.016,0.027,0.037,0.005,0.028,0.048,204000.0,30000.0
KS,Overall,0.009,0.0004,0.008,0.009,0.009,0.0004,0.008,0.009,1.0,0.0,N/A,N/A,2384000.0,103000.0
KS,0 - Did not misuse in the past year,0.008,0.0004,0.008,0.009,0.009,0.0004,0.008,0.009,0.96,0.0054,0.948,0.97,2290000.0,103000.0
KS,1 - Misused within the past year,0.0,0.0,0.0,0.0,0.01,0.0013,0.007,0.013,0.04,0.0054,0.03,0.052,95000.0,13000.0
KY,Overall,0.014,0.0006,0.012,0.015,0.014,0.0006,0.012,0.015,1.0,0.0,N/A,N/A,3719000.0,168000.0
KY,0 - Did not misuse in the past year,0.013,0.0006,0.012,0.014,0.013,0.0006,0.012,0.015,0.954,0.0062,0.94,0.965,3549000.0,164000.0
KY,1 - Misused within the past year,0.001,0.0001,0.0,0.001,0.017,0.0024,0.013,0.023,0.046,0.0062,0.035,0.06,170000.0,23000.0
LA,Overall,0.014,0.0007,0.013,0.015,0.014,0.0007,0.013,0.015,1.0,0.0,N/A,N/A,3821000.0,200000.0
LA,0 - Did not misuse in the past year,0.013,0.0007,0.012,0.015,0.014,0.0007,0.012,0.015,0.957,0.0053,0.946,0.967,3658000.0,189000.0
LA,1 - Misused within the past year,0.001,0.0001,0.0,0.001,0.017,0.0024,0.013,0.022,0.043,0.0053,0.033,0.054,163000.0,23000.0
MA,Overall,0.022,0.0008,0.02,0.023,0.022,0.0008,0.02,0.023,1.0,0.0,N/A,N/A,5947000.0,212000.0
MA,0 - Did not misuse in the past year,0.021,0.0008,0.02,0.023,0.022,0.0008,0.02,0.023,0.972,0.004,0.963,0.979,5779000.0,215000.0
MA,1 - Misused within the past year,0.001,0.0001,0.0,0.001,0.017,0.0023,0.013,0.022,0.028,0.004,0.021,0.037,168000.0,23000.0
MD,Overall,0.018,0.0008,0.017,0.02,0.018,0.0008,0.017,0.02,1.0,0.0,N/A,N/A,5059000.0,209000.0
MD,0 - Did not misuse in the past year,0.018,0.0007,0.016,0.019,0.018,0.0008,0.017,0.02,0.966,0.0065,0.95,0.976,4886000.0,204000.0
MD,1 - Misused within the past year,0.001,0.0001,0.0,0.001,0.018,0.0034,0.012,0.026,0.034,0.0065,0.024,0.05,174000.0,33000.0
ME,Overall,0.004,0.0002,0.004,0.005,0.004,0.0002,0.004,0.005,1.0,0.0,N/A,N/A,1166000.0,50000.0
ME,0 - Did not misuse in the past year,0.004,0.0002,0.004,0.004,0.004,0.0002,0.004,0.005,0.972,0.0051,0.96,0.981,1134000.0,48000.0
ME,1 - Misused within the past year,0.0,0.0,0.0,0.0,0.003,0.0006,0.002,0.005,0.028,0.0051,0.019,0.04,32000.0,6000.0
MI,Overall,0.031,0.0007,0.03,0.032,0.031,0.0007,0.03,0.032,1.0,0.0,N/A,N/A,8488000.0,201000.0
MI,0 - Did not misuse in the past year,0.03,0.0007,0.028,0.031,0.031,0.0007,0.029,0.032,0.961,0.0039,0.953,0.968,8160000.0,198000.0
MI,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.033,0.0034,0.027,0.041,0.039,0.0039,0.032,0.047,328000.0,34000.0
MN,Overall,0.017,0.0007,0.016,0.019,0.017,0.0007,0.016,0.019,1.0,0.0,N/A,N/A,4706000.0,192000.0
MN,0 - Did not misuse in the past year,0.017,0.0007,0.015,0.018,0.017,0.0007,0.016,0.019,0.965,0.0052,0.953,0.974,4542000.0,194000.0
MN,1 - Misused within the past year,0.001,0.0001,0.0,0.001,0.017,0.0023,0.013,0.022,0.035,0.0052,0.026,0.047,164000.0,23000.0
MO,Overall,0.019,0.0007,0.017,0.02,0.019,0.0007,0.017,0.02,1.0,0.0,N/A,N/A,5116000.0,192000.0
MO,0 - Did not misuse in the past year,0.018,0.0007,0.017,0.019,0.019,0.0007,0.017,0.02,0.966,0.0054,0.954,0.975,4942000.0,189000.0
MO,1 - Misused within the past year,0.001,0.0001,0.0,0.001,0.018,0.0028,0.013,0.024,0.034,0.0054,0.025,0.046,174000.0,28000.0
MS,Overall,0.009,0.0004,0.008,0.01,0.009,0.0004,0.008,0.01,1.0,0.0,N/A,N/A,2453000.0,96000.0
MS,0 - Did not misuse in the past year,0.009,0.0003,0.008,0.009,0.009,0.0003,0.008,0.01,0.956,0.0064,0.942,0.967,2345000.0,90000.0
MS,1 - Misused within the past year,0.0,0.0001,0.0,0.001,0.011,0.0017,0.008,0.015,0.044,0.0064,0.033,0.058,108000.0,17000.0
MT,Overall,0.003,0.0001,0.003,0.003,0.003,0.0001,0.003,0.003,1.0,0.0,N/A,N/A,898000.0,30000.0
MT,0 - Did not misuse in the past year,0.003,0.0001,0.003,0.003,0.003,0.0001,0.003,0.003,0.955,0.0073,0.938,0.967,858000.0,28000.0
MT,1 - Misused within the past year,0.0,0.0,0.0,0.0,0.004,0.0007,0.003,0.006,0.045,0.0073,0.033,0.062,40000.0,7000.0
NC,Overall,0.032,0.0012,0.029,0.034,0.032,0.0012,0.029,0.034,1.0,0.0,N/A,N/A,8726000.0,344000.0
NC,0 - Did not misuse in the past year,0.031,0.0012,0.028,0.033,0.032,0.0012,0.029,0.034,0.965,0.0041,0.956,0.972,8421000.0,335000.0
NC,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.031,0.0038,0.024,0.039,0.035,0.0041,0.028,0.044,305000.0,38000.0
ND,Overall,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,1.0,0.0,N/A,N/A,619000.0,26000.0
ND,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,0.964,0.0073,0.947,0.976,597000.0,25000.0
ND,1 - Misused within the past year,0.0,0.0,0.0,0.0,0.002,0.0005,0.002,0.003,0.036,0.0073,0.024,0.053,22000.0,5000.0
NE,Overall,0.006,0.0002,0.005,0.006,0.006,0.0002,0.005,0.006,1.0,0.0,N/A,N/A,1584000.0,60000.0
NE,0 - Did not misuse in the past year,0.006,0.0002,0.005,0.006,0.006,0.0002,0.005,0.006,0.976,0.0031,0.969,0.981,1546000.0,60000.0
NE,1 - Misused within the past year,0.0,0.0,0.0,0.0,0.004,0.0005,0.003,0.005,0.024,0.0031,0.019,0.031,38000.0,5000.0
NH,Overall,0.004,0.0002,0.004,0.005,0.004,0.0002,0.004,0.005,1.0,0.0,N/A,N/A,1180000.0,47000.0
NH,0 - Did not misuse in the past year,0.004,0.0002,0.004,0.005,0.004,0.0002,0.004,0.005,0.969,0.0057,0.956,0.979,1144000.0,47000.0
NH,1 - Misused within the past year,0.0,0.0,0.0,0.0,0.004,0.0007,0.003,0.005,0.031,0.0057,0.021,0.044,36000.0,7000.0
NJ,Overall,0.027,0.001,0.026,0.029,0.027,0.001,0.026,0.029,1.0,0.0,N/A,N/A,7526000.0,278000.0
NJ,0 - Did not misuse in the past year,0.027,0.001,0.025,0.029,0.028,0.001,0.026,0.03,0.972,0.0037,0.964,0.979,7316000.0,271000.0
NJ,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.021,0.003,0.016,0.028,0.028,0.0037,0.021,0.036,210000.0,29000.0
NM,Overall,0.006,0.0003,0.006,0.007,0.006,0.0003,0.006,0.007,1.0,0.0,N/A,N/A,1747000.0,87000.0
NM,0 - Did not misuse in the past year,0.006,0.0003,0.006,0.007,0.006,0.0003,0.006,0.007,0.963,0.0051,0.952,0.972,1683000.0,84000.0
NM,1 - Misused within the past year,0.0,0.0,0.0,0.0,0.007,0.001,0.005,0.009,0.037,0.0051,0.028,0.048,65000.0,10000.0
NV,Overall,0.009,0.0005,0.008,0.01,0.009,0.0005,0.008,0.01,1.0,0.0,N/A,N/A,2561000.0,126000.0
NV,0 - Did not misuse in the past year,0.009,0.0004,0.008,0.01,0.009,0.0005,0.008,0.01,0.959,0.0052,0.947,0.968,2457000.0,120000.0
NV,1 - Misused within the past year,0.0,0.0001,0.0,0.001,0.011,0.0015,0.008,0.014,0.041,0.0052,0.032,0.053,105000.0,15000.0
NY,Overall,0.06,0.0015,0.058,0.063,0.06,0.0015,0.058,0.063,1.0,0.0,N/A,N/A,16572000.0,424000.0
NY,0 - Did not misuse in the past year,0.059,0.0015,0.056,0.062,0.061,0.0015,0.058,0.064,0.973,0.0025,0.968,0.978,16131000.0,419000.0
NY,1 - Misused within the past year,0.002,0.0002,0.001,0.002,0.045,0.0042,0.037,0.054,0.027,0.0025,0.022,0.032,440000.0,42000.0
OH,Overall,0.036,0.0009,0.034,0.038,0.036,0.0009,0.034,0.038,1.0,0.0,N/A,N/A,9825000.0,260000.0
OH,0 - Did not misuse in the past year,0.034,0.0009,0.033,0.036,0.036,0.001,0.034,0.038,0.959,0.0041,0.95,0.966,9419000.0,257000.0
OH,1 - Misused within the past year,0.001,0.0001,0.001,0.002,0.041,0.004,0.034,0.05,0.041,0.0041,0.034,0.05,406000.0,40000.0
OK,Overall,0.012,0.0006,0.011,0.013,0.012,0.0006,0.011,0.013,1.0,0.0,N/A,N/A,3234000.0,152000.0
OK,0 - Did not misuse in the past year,0.011,0.0005,0.01,0.012,0.012,0.0006,0.011,0.013,0.96,0.0066,0.945,0.971,3105000.0,148000.0
OK,1 - Misused within the past year,0.0,0.0001,0.0,0.001,0.013,0.0022,0.009,0.018,0.04,0.0066,0.029,0.055,129000.0,22000.0
OR,Overall,0.013,0.0004,0.012,0.014,0.013,0.0004,0.012,0.014,1.0,0.0,N/A,N/A,3591000.0,108000.0
OR,0 - Did not misuse in the past year,0.012,0.0004,0.012,0.013,0.013,0.0004,0.012,0.014,0.949,0.0068,0.934,0.961,3409000.0,108000.0
OR,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.019,0.0025,0.014,0.024,0.051,0.0068,0.039,0.066,182000.0,24000.0
PA,Overall,0.04,0.0011,0.037,0.042,0.04,0.0011,0.037,0.042,1.0,0.0,N/A,N/A,10878000.0,319000.0
PA,0 - Did not misuse in the past year,0.038,0.0011,0.036,0.041,0.04,0.0011,0.038,0.042,0.97,0.0031,0.963,0.975,10548000.0,311000.0
PA,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.034,0.0035,0.027,0.041,0.03,0.0031,0.025,0.037,330000.0,35000.0
RI,Overall,0.003,0.0002,0.003,0.004,0.003,0.0002,0.003,0.004,1.0,0.0,N/A,N/A,910000.0,43000.0
RI,0 - Did not misuse in the past year,0.003,0.0002,0.003,0.004,0.003,0.0002,0.003,0.004,0.969,0.0054,0.957,0.978,882000.0,42000.0
RI,1 - Misused within the past year,0.0,0.0,0.0,0.0,0.003,0.0005,0.002,0.004,0.031,0.0054,0.022,0.043,28000.0,5000.0
SC,Overall,0.016,0.0008,0.014,0.017,0.016,0.0008,0.014,0.017,1.0,0.0,N/A,N/A,4289000.0,210000.0
SC,0 - Did not misuse in the past year,0.015,0.0007,0.014,0.017,0.016,0.0008,0.014,0.017,0.965,0.0057,0.952,0.975,4140000.0,206000.0
SC,1 - Misused within the past year,0.001,0.0001,0.0,0.001,0.015,0.0025,0.011,0.021,0.035,0.0057,0.025,0.048,149000.0,25000.0
SD,Overall,0.003,0.0001,0.002,0.003,0.003,0.0001,0.002,0.003,1.0,0.0,N/A,N/A,718000.0,41000.0
SD,0 - Did not misuse in the past year,0.003,0.0001,0.002,0.003,0.003,0.0001,0.002,0.003,0.976,0.0038,0.967,0.982,701000.0,39000.0
SD,1 - Misused within the past year,0.0,0.0,0.0,0.0,0.002,0.0003,0.001,0.002,0.024,0.0038,0.018,0.033,17000.0,3000.0
TN,Overall,0.021,0.001,0.019,0.023,0.021,0.001,0.019,0.023,1.0,0.0,N/A,N/A,5699000.0,267000.0
TN,0 - Did not misuse in the past year,0.02,0.001,0.018,0.022,0.021,0.001,0.019,0.023,0.967,0.0053,0.955,0.976,5511000.0,264000.0
TN,1 - Misused within the past year,0.001,0.0001,0.0,0.001,0.019,0.0031,0.014,0.026,0.033,0.0053,0.024,0.045,188000.0,31000.0
TX,Overall,0.085,0.0022,0.081,0.09,0.085,0.0022,0.081,0.09,1.0,0.0,N/A,N/A,23465000.0,649000.0
TX,0 - Did not misuse in the past year,0.082,0.0022,0.078,0.087,0.086,0.0023,0.081,0.09,0.965,0.0033,0.958,0.971,22645000.0,635000.0
TX,1 - Misused within the past year,0.003,0.0003,0.002,0.004,0.083,0.0076,0.07,0.1,0.035,0.0033,0.029,0.042,820000.0,79000.0
UT,Overall,0.009,0.0003,0.009,0.01,0.009,0.0003,0.009,0.01,1.0,0.0,N/A,N/A,2540000.0,93000.0
UT,0 - Did not misuse in the past year,0.009,0.0003,0.008,0.01,0.009,0.0004,0.009,0.01,0.964,0.0053,0.952,0.973,2450000.0,93000.0
UT,1 - Misused within the past year,0.0,0.0,0.0,0.0,0.009,0.0014,0.007,0.012,0.036,0.0053,0.027,0.048,91000.0,13000.0
VA,Overall,0.026,0.001,0.024,0.028,0.026,0.001,0.024,0.028,1.0,0.0,N/A,N/A,7081000.0,284000.0
VA,0 - Did not misuse in the past year,0.025,0.001,0.023,0.027,0.026,0.001,0.024,0.028,0.966,0.0039,0.957,0.973,6839000.0,278000.0
VA,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.025,0.0029,0.019,0.031,0.034,0.0039,0.027,0.043,242000.0,29000.0
VT,Overall,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,1.0,0.0,N/A,N/A,546000.0,25000.0
VT,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,0.968,0.0062,0.953,0.978,528000.0,25000.0
VT,1 - Misused within the past year,0.0,0.0,0.0,0.0,0.002,0.0003,0.001,0.003,0.032,0.0062,0.022,0.047,18000.0,3000.0
WA,Overall,0.023,0.0009,0.021,0.025,0.023,0.0009,0.021,0.025,1.0,0.0,N/A,N/A,6350000.0,262000.0
WA,0 - Did not misuse in the past year,0.022,0.0009,0.02,0.024,0.023,0.001,0.021,0.025,0.957,0.0064,0.943,0.968,6077000.0,258000.0
WA,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.028,0.0041,0.021,0.037,0.043,0.0064,0.032,0.057,273000.0,41000.0
WI,Overall,0.018,0.0008,0.016,0.02,0.018,0.0008,0.016,0.02,1.0,0.0,N/A,N/A,4920000.0,226000.0
WI,0 - Did not misuse in the past year,0.017,0.0008,0.016,0.019,0.018,0.0008,0.016,0.02,0.96,0.0067,0.944,0.971,4723000.0,224000.0
WI,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.02,0.0033,0.014,0.028,0.04,0.0067,0.029,0.056,197000.0,33000.0
WV,Overall,0.006,0.0003,0.005,0.006,0.006,0.0003,0.005,0.006,1.0,0.0,N/A,N/A,1534000.0,74000.0
WV,0 - Did not misuse in the past year,0.005,0.0003,0.005,0.006,0.006,0.0003,0.005,0.006,0.973,0.0037,0.965,0.979,1493000.0,73000.0
WV,1 - Misused within the past year,0.0,0.0,0.0,0.0,0.004,0.0006,0.003,0.006,0.027,0.0037,0.021,0.035,42000.0,6000.0
WY,Overall,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,1.0,0.0,N/A,N/A,479000.0,19000.0
WY,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,0.974,0.0045,0.964,0.981,467000.0,19000.0
WY,1 - Misused within the past year,0.0,0.0,0.0,0.0,0.001,0.0002,0.001,0.002,0.026,0.0045,0.019,0.036,12000.0,2000.0
